travelcode,usercode,name,place,days,price,total,date
109.0,2.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-01-02
110.0,2.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-01-09
112.0,2.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2020-01-23
116.0,2.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2020-02-20
117.0,2.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2020-02-27
119.0,2.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2020-03-12
122.0,2.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2020-04-02
124.0,2.0,Hotel Z,Aracaju (SE),3.0,208.04,624.12,2020-04-16
125.0,2.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-04-23
135.0,2.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-07-02
137.0,2.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2020-07-16
150.0,2.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2020-10-15
153.0,2.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2020-11-05
156.0,2.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2020-11-26
160.0,2.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-12-24
165.0,2.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2021-01-28
177.0,2.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2021-04-22
180.0,2.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2021-05-13
187.0,2.0,Hotel Z,Aracaju (SE),3.0,208.04,624.12,2021-07-01
188.0,2.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2021-07-08
189.0,2.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2021-07-15
192.0,2.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2021-08-05
197.0,2.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2021-09-09
201.0,2.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2021-10-07
205.0,2.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2021-11-04
211.0,2.0,Hotel Z,Aracaju (SE),3.0,208.04,624.12,2021-12-16
213.0,2.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2021-12-30
214.0,2.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2022-01-06
219.0,2.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2022-02-10
221.0,2.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2022-02-24
224.0,2.0,Hotel BP,Brasilia (DF),3.0,247.62,742.86,2022-03-17
225.0,2.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2022-03-24
233.0,3.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2019-11-14
235.0,3.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2019-11-28
238.0,3.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2019-12-19
239.0,3.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2019-12-26
240.0,3.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2020-01-02
241.0,3.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2020-01-09
243.0,3.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-01-23
244.0,3.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2020-01-30
246.0,3.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2020-02-13
248.0,3.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-02-27
255.0,3.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2020-04-16
259.0,3.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-05-14
263.0,3.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2020-06-11
269.0,3.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2020-07-23
275.0,3.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-09-03
279.0,3.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2020-10-01
283.0,3.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2020-10-29
287.0,3.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2020-11-26
290.0,3.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2020-12-17
291.0,3.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-12-24
295.0,3.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-01-21
296.0,3.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2021-01-28
299.0,3.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2021-02-18
300.0,3.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2021-02-25
303.0,3.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2021-03-18
305.0,3.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-04-01
306.0,3.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2021-04-08
307.0,3.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2021-04-15
311.0,3.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2021-05-13
315.0,3.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-06-10
322.0,3.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2021-07-29
325.0,3.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-08-19
337.0,3.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-11-11
338.0,3.0,Hotel Z,Aracaju (SE),3.0,208.04,624.12,2021-11-18
347.0,3.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2022-01-20
350.0,3.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2022-02-10
363.0,3.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2022-05-12
369.0,3.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2022-06-23
373.0,3.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2022-07-21
377.0,3.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2022-08-18
382.0,3.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2022-09-22
383.0,3.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2022-09-29
385.0,3.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2022-10-13
387.0,3.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2022-10-27
388.0,3.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2022-11-03
394.0,3.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2022-12-15
397.0,3.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2023-01-05
398.0,3.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2023-01-12
403.0,3.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2023-02-16
404.0,3.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2023-02-23
406.0,3.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2023-03-09
408.0,3.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2023-03-23
409.0,3.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2023-03-30
410.0,3.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2023-04-06
412.0,3.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2023-04-20
415.0,3.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2023-05-11
417.0,3.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2023-05-25
418.0,3.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2023-06-01
419.0,3.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2023-06-08
424.0,3.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2023-07-13
426.0,4.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2019-10-03
431.0,4.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2019-11-07
432.0,4.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2019-11-14
440.0,4.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2020-01-09
442.0,4.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2020-01-23
445.0,4.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-02-13
447.0,4.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2020-02-27
450.0,4.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-03-19
452.0,4.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2020-04-02
456.0,4.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2020-04-30
457.0,4.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-05-07
468.0,4.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2020-07-23
473.0,4.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2020-08-27
481.0,4.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2020-10-22
486.0,4.0,Hotel Z,Aracaju (SE),4.0,208.04,832.16,2020-11-26
490.0,4.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-12-24
491.0,4.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2020-12-31
494.0,4.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2021-01-21
498.0,4.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2021-02-18
500.0,4.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2021-03-04
501.0,4.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2021-03-11
503.0,4.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2021-03-25
505.0,4.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2021-04-08
514.0,4.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2021-06-10
517.0,4.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-07-01
529.0,4.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2021-09-23
532.0,4.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2021-10-14
537.0,4.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2021-11-18
541.0,4.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-12-16
543.0,4.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2021-12-30
545.0,4.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2022-01-13
548.0,4.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2022-02-03
555.0,4.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2022-03-24
556.0,4.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2022-03-31
557.0,4.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2022-04-07
559.0,4.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2022-04-21
562.0,4.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2022-05-12
564.0,4.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2022-05-26
565.0,4.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2022-06-02
574.0,4.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2022-08-04
578.0,4.0,Hotel Z,Aracaju (SE),3.0,208.04,624.12,2022-09-01
581.0,4.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2022-09-22
582.0,4.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2022-09-29
586.0,4.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2022-10-27
587.0,4.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2022-11-03
588.0,4.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2022-11-10
590.0,4.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2022-11-24
591.0,4.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2022-12-01
596.0,4.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2023-01-05
598.0,4.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2023-01-19
604.0,4.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2023-03-02
605.0,4.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2023-03-09
609.0,4.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2023-04-06
619.0,4.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2023-06-15
621.0,4.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2023-06-29
623.0,4.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2023-07-13
624.0,5.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2019-09-26
638.0,5.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-01-02
643.0,5.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2020-02-06
644.0,5.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-02-13
646.0,5.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2020-02-27
648.0,5.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2020-03-12
658.0,5.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2020-05-21
668.0,5.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2020-07-30
670.0,5.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2020-08-13
676.0,5.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2020-09-24
680.0,5.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2020-10-22
683.0,5.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2020-11-12
687.0,5.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2020-12-10
688.0,6.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2019-09-26
690.0,6.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2019-10-10
695.0,6.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2019-11-14
696.0,6.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2019-11-21
698.0,6.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2019-12-05
699.0,6.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2019-12-12
701.0,6.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2019-12-26
707.0,6.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2020-02-06
711.0,6.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2020-03-05
712.0,6.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2020-03-12
718.0,6.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2020-04-23
719.0,6.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2020-04-30
723.0,6.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2020-05-28
739.0,6.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2020-09-17
745.0,6.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-10-29
746.0,6.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2020-11-05
747.0,6.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2020-11-12
749.0,6.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2020-11-26
753.0,6.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2020-12-24
754.0,6.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-12-31
755.0,6.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2021-01-07
762.0,6.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-02-25
767.0,6.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2021-04-01
778.0,7.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2019-11-21
787.0,7.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2020-01-23
788.0,7.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-01-30
793.0,7.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2020-03-05
795.0,7.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-03-19
803.0,7.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2020-05-14
805.0,7.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2020-05-28
806.0,7.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2020-06-04
808.0,7.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2020-06-18
809.0,7.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2020-06-25
812.0,7.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-07-16
815.0,7.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2020-08-06
817.0,7.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-08-20
819.0,7.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-09-03
823.0,8.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2019-10-03
826.0,8.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2019-10-24
827.0,8.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2019-10-31
830.0,8.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2019-11-21
834.0,8.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2019-12-19
836.0,8.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2020-01-02
838.0,8.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2020-01-16
840.0,8.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2020-01-30
852.0,8.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2020-04-23
857.0,8.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2020-05-28
861.0,8.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2020-06-25
862.0,8.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-07-02
864.0,8.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2020-07-16
865.0,8.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2020-07-23
869.0,8.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2020-08-20
871.0,8.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2020-09-03
892.0,8.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2021-01-28
894.0,8.0,Hotel BP,Brasilia (DF),3.0,247.62,742.86,2021-02-11
900.0,8.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2021-03-25
904.0,8.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2021-04-22
907.0,8.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2021-05-13
911.0,8.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-06-10
913.0,8.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2021-06-24
914.0,8.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2021-07-01
917.0,8.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2021-07-22
919.0,8.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2021-08-05
920.0,8.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-08-12
922.0,8.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2021-08-26
923.0,8.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2021-09-02
925.0,8.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2021-09-16
928.0,8.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2021-10-07
932.0,8.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2021-11-04
935.0,8.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2021-11-25
938.0,8.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2021-12-16
942.0,8.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2022-01-13
944.0,8.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2022-01-27
945.0,8.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2022-02-03
948.0,8.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2022-02-24
950.0,8.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2022-03-10
957.0,8.0,Hotel Z,Aracaju (SE),4.0,208.04,832.16,2022-04-28
958.0,8.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2022-05-05
962.0,8.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2022-06-02
966.0,8.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2022-06-30
967.0,8.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2022-07-07
969.0,8.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2022-07-21
970.0,8.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2022-07-28
972.0,8.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2022-08-11
974.0,8.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2022-08-25
977.0,8.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2022-09-15
984.0,8.0,Hotel Z,Aracaju (SE),4.0,208.04,832.16,2022-11-03
987.0,8.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2022-11-24
988.0,8.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2022-12-01
997.0,9.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2019-09-26
998.0,9.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2019-10-03
999.0,9.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2019-10-10
1006.0,9.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2019-11-28
1007.0,9.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2019-12-05
1012.0,9.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2020-01-09
1014.0,9.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2020-01-23
1016.0,9.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2020-02-06
1018.0,9.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-02-20
1025.0,9.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2020-04-09
1034.0,9.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2020-06-11
1035.0,9.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2020-06-18
1038.0,9.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2020-07-09
1041.0,9.0,Hotel Z,Aracaju (SE),4.0,208.04,832.16,2020-07-30
1048.0,9.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2020-09-17
1051.0,9.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2020-10-08
1052.0,9.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2020-10-15
1053.0,9.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2020-10-22
1055.0,9.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2020-11-05
1065.0,9.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-01-14
1067.0,9.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2021-01-28
1077.0,9.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2021-04-08
1078.0,9.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2021-04-15
1084.0,9.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2021-05-27
1090.0,9.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-07-08
1091.0,9.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2021-07-15
1093.0,9.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2021-07-29
1095.0,9.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2021-08-12
1096.0,9.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2021-08-19
1101.0,9.0,Hotel BP,Brasilia (DF),3.0,247.62,742.86,2021-09-23
1103.0,9.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2021-10-07
1106.0,9.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2021-10-28
1113.0,10.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2019-10-03
1119.0,10.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2019-11-14
1125.0,10.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2019-12-26
1133.0,10.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2020-02-20
1136.0,10.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2020-03-12
1139.0,10.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2020-04-02
