travelcode,usercode,name,place,days,price,total,date,price_per_day
165.0,2.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2021-01-28,182.16
177.0,2.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2021-04-22,138.69333333333333
180.0,2.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2021-05-13,45.2925
187.0,2.0,Hotel Z,Aracaju (SE),3.0,208.04,624.12,2021-07-01,156.03
188.0,2.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2021-07-08,92.73333333333333
189.0,2.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2021-07-15,210.728
192.0,2.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2021-08-05,250.416
197.0,2.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2021-09-09,234.765
201.0,2.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2021-10-07,208.67999999999998
205.0,2.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2021-11-04,110.66000000000001
211.0,2.0,Hotel Z,Aracaju (SE),3.0,208.04,624.12,2021-12-16,156.03
213.0,2.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2021-12-30,197.5575
214.0,2.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2022-01-06,156.415
219.0,2.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2022-02-10,208.67999999999998
221.0,2.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2022-02-24,131.705
224.0,2.0,Hotel BP,Brasilia (DF),3.0,247.62,742.86,2022-03-17,185.715
225.0,2.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2022-03-24,194.304
233.0,3.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2019-11-14,208.67999999999998
235.0,3.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2019-11-28,234.765
238.0,3.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2019-12-19,208.67999999999998
239.0,3.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2019-12-26,208.67999999999998
240.0,3.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2020-01-02,198.096
241.0,3.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2020-01-09,156.51
243.0,3.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-01-23,82.995
244.0,3.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2020-01-30,250.26399999999998
246.0,3.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2020-02-13,208.5533333333333
248.0,3.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-02-27,40.26
255.0,3.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2020-04-16,156.51
259.0,3.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-05-14,161.92
263.0,3.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2020-06-11,45.2925
269.0,3.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2020-07-23,110.66000000000001
275.0,3.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-09-03,161.92
279.0,3.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2020-10-01,121.44
283.0,3.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2020-10-29,69.55
287.0,3.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2020-11-26,156.415
290.0,3.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2020-12-17,30.195
291.0,3.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-12-24,131.705
295.0,3.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-01-21,194.304
296.0,3.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2021-01-28,234.6225
299.0,3.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2021-02-18,104.325
300.0,3.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2021-02-25,197.5575
303.0,3.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2021-03-18,30.195
305.0,3.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-04-01,194.304
306.0,3.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2021-04-08,234.765
307.0,3.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2021-04-15,161.92
311.0,3.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2021-05-13,92.73333333333333
315.0,3.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-06-10,124.4925
322.0,3.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2021-07-29,121.44
325.0,3.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-08-19,124.4925
337.0,3.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-11-11,124.4925
338.0,3.0,Hotel Z,Aracaju (SE),3.0,208.04,624.12,2021-11-18,156.03
347.0,3.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2022-01-20,123.81
350.0,3.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2022-02-10,121.44
363.0,3.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2022-05-12,69.55
369.0,3.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2022-06-23,234.6225
373.0,3.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2022-07-21,48.312
377.0,3.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2022-08-18,250.416
382.0,3.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2022-09-22,175.60666666666668
383.0,3.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2022-09-29,208.67999999999998
385.0,3.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2022-10-13,40.26
387.0,3.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2022-10-27,104.325
388.0,3.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2022-11-03,194.304
394.0,3.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2022-12-15,210.728
397.0,3.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2023-01-05,250.26399999999998
398.0,3.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2023-01-12,48.312
403.0,3.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2023-02-16,104.325
404.0,3.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2023-02-23,104.02
406.0,3.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2023-03-09,161.92
408.0,3.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2023-03-23,131.705
409.0,3.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2023-03-30,197.5575
410.0,3.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2023-04-06,45.2925
412.0,3.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2023-04-20,208.67999999999998
415.0,3.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2023-05-11,110.66000000000001
417.0,3.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2023-05-25,161.92
418.0,3.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2023-06-01,156.415
419.0,3.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2023-06-08,40.26
424.0,3.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2023-07-13,82.995
426.0,4.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2019-10-03,208.5533333333333
431.0,4.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2019-11-07,250.26399999999998
432.0,4.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2019-11-14,234.6225
440.0,4.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2020-01-09,197.5575
442.0,4.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2020-01-23,138.69333333333333
445.0,4.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-02-13,82.995
447.0,4.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2020-02-27,92.73333333333333
450.0,4.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-03-19,40.26
452.0,4.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2020-04-02,156.51
456.0,4.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2020-04-30,124.4925
457.0,4.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-05-07,40.26
468.0,4.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2020-07-23,104.02
473.0,4.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2020-08-27,111.28
481.0,4.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2020-10-22,250.416
486.0,4.0,Hotel Z,Aracaju (SE),4.0,208.04,832.16,2020-11-26,166.432
490.0,4.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-12-24,82.995
491.0,4.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2020-12-31,250.416
494.0,4.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2021-01-21,92.73333333333333
498.0,4.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2021-02-18,132.792
500.0,4.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2021-03-04,175.60666666666668
501.0,4.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2021-03-11,82.995
503.0,4.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2021-03-25,208.67999999999998
505.0,4.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2021-04-08,208.67999999999998
514.0,4.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2021-06-10,234.6225
517.0,4.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-07-01,194.304
529.0,4.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2021-09-23,104.325
532.0,4.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2021-10-14,132.792
537.0,4.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2021-11-18,234.6225
541.0,4.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-12-16,124.4925
543.0,4.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2021-12-30,45.2925
545.0,4.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2022-01-13,30.195
548.0,4.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2022-02-03,40.26
555.0,4.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2022-03-24,156.51
556.0,4.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2022-03-31,197.5575
557.0,4.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2022-04-07,131.705
559.0,4.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2022-04-21,175.60666666666668
562.0,4.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2022-05-12,161.92
564.0,4.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2022-05-26,82.995
565.0,4.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2022-06-02,110.66000000000001
574.0,4.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2022-08-04,198.096
578.0,4.0,Hotel Z,Aracaju (SE),3.0,208.04,624.12,2022-09-01,156.03
581.0,4.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2022-09-22,124.4925
582.0,4.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2022-09-29,104.325
586.0,4.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2022-10-27,175.60666666666668
587.0,4.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2022-11-03,131.705
588.0,4.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2022-11-10,161.92
590.0,4.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2022-11-24,208.5533333333333
591.0,4.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2022-12-01,250.26399999999998
596.0,4.0,Hotel BP,Brasilia (DF),1.0,247.62,247.62,2023-01-05,123.81
598.0,4.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2023-01-19,194.304
604.0,4.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2023-03-02,104.325
605.0,4.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2023-03-09,250.416
609.0,4.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2023-04-06,40.26
619.0,4.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2023-06-15,132.792
621.0,4.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2023-06-29,198.096
623.0,4.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2023-07-13,194.304
624.0,5.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2019-09-26,175.60666666666668
638.0,5.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-01-02,131.705
643.0,5.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2020-02-06,104.325
644.0,5.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-02-13,131.705
646.0,5.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2020-02-27,197.5575
648.0,5.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2020-03-12,132.792
658.0,5.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2020-05-21,121.44
668.0,5.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2020-07-30,30.195
670.0,5.0,Hotel K,Salvador (BH),3.0,263.41,790.23,2020-08-13,197.5575
676.0,5.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2020-09-24,250.416
680.0,5.0,Hotel AF,Sao Paulo (SP),2.0,139.1,278.2,2020-10-22,92.73333333333333
683.0,5.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2020-11-12,69.55
687.0,5.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2020-12-10,104.02
688.0,6.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2019-09-26,182.16
690.0,6.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2019-10-10,104.325
695.0,6.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2019-11-14,208.67999999999998
696.0,6.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2019-11-21,110.66000000000001
698.0,6.0,Hotel AU,Recife (PE),1.0,312.83,312.83,2019-12-05,156.415
699.0,6.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2019-12-12,48.312
701.0,6.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2019-12-26,198.096
707.0,6.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2020-02-06,208.67999999999998
711.0,6.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2020-03-05,69.55
712.0,6.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2020-03-12,250.416
718.0,6.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2020-04-23,210.728
719.0,6.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2020-04-30,69.55
723.0,6.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2020-05-28,165.08
739.0,6.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2020-09-17,104.325
745.0,6.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2020-10-29,131.705
746.0,6.0,Hotel CB,Rio de Janeiro (RJ),4.0,165.99,663.96,2020-11-05,132.792
747.0,6.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2020-11-12,194.304
749.0,6.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2020-11-26,208.67999999999998
753.0,6.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2020-12-24,165.08
754.0,6.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-12-31,161.92
755.0,6.0,Hotel K,Salvador (BH),1.0,263.41,263.41,2021-01-07,131.705
762.0,6.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2021-02-25,124.4925
767.0,6.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2021-04-01,104.325
778.0,7.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2019-11-21,104.325
787.0,7.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2020-01-23,30.195
788.0,7.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-01-30,40.26
793.0,7.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2020-03-05,124.4925
795.0,7.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-03-19,40.26
803.0,7.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2020-05-14,48.312
805.0,7.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2020-05-28,138.69333333333333
806.0,7.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2020-06-04,234.6225
808.0,7.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2020-06-18,182.16
809.0,7.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2020-06-25,198.096
812.0,7.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-07-16,161.92
815.0,7.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2020-08-06,234.6225
817.0,7.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2020-08-20,161.92
819.0,7.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2020-09-03,40.26
823.0,8.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2019-10-03,210.728
826.0,8.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2019-10-24,234.765
827.0,8.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2019-10-31,250.26399999999998
830.0,8.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2019-11-21,194.304
834.0,8.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2019-12-19,165.08
836.0,8.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2020-01-02,69.55
838.0,8.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2020-01-16,121.44
840.0,8.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2020-01-30,104.02
852.0,8.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2020-04-23,156.51
857.0,8.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2020-05-28,110.66000000000001
861.0,8.0,Hotel CB,Rio de Janeiro (RJ),2.0,165.99,331.98,2020-06-25,110.66000000000001
862.0,8.0,Hotel CB,Rio de Janeiro (RJ),1.0,165.99,165.99,2020-07-02,82.995
864.0,8.0,Hotel BP,Brasilia (DF),2.0,247.62,495.24,2020-07-16,165.08
865.0,8.0,Hotel BW,Campo Grande (MS),3.0,60.39,181.17,2020-07-23,45.2925
869.0,8.0,Hotel BP,Brasilia (DF),4.0,247.62,990.48,2020-08-20,198.096
871.0,8.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2020-09-03,194.304
892.0,8.0,Hotel A,Florianopolis (SC),2.0,313.02,626.04,2021-01-28,208.67999999999998
894.0,8.0,Hotel BP,Brasilia (DF),3.0,247.62,742.86,2021-02-11,185.715
900.0,8.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2021-03-25,161.92
904.0,8.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2021-04-22,250.26399999999998
907.0,8.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2021-05-13,234.6225
911.0,8.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-06-10,194.304
913.0,8.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2021-06-24,156.51
914.0,8.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2021-07-01,182.16
917.0,8.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2021-07-22,182.16
919.0,8.0,Hotel BW,Campo Grande (MS),4.0,60.39,241.56,2021-08-05,48.312
920.0,8.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2021-08-12,194.304
922.0,8.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2021-08-26,250.26399999999998
923.0,8.0,Hotel A,Florianopolis (SC),4.0,313.02,1252.08,2021-09-02,250.416
925.0,8.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2021-09-16,30.195
928.0,8.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2021-10-07,30.195
932.0,8.0,Hotel K,Salvador (BH),2.0,263.41,526.82,2021-11-04,175.60666666666668
935.0,8.0,Hotel BD,Natal (RN),3.0,242.88,728.64,2021-11-25,182.16
938.0,8.0,Hotel AF,Sao Paulo (SP),3.0,139.1,417.3,2021-12-16,104.325
942.0,8.0,Hotel BW,Campo Grande (MS),1.0,60.39,60.39,2022-01-13,30.195
944.0,8.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2022-01-27,234.6225
945.0,8.0,Hotel BD,Natal (RN),1.0,242.88,242.88,2022-02-03,121.44
948.0,8.0,Hotel BD,Natal (RN),4.0,242.88,971.52,2022-02-24,194.304
950.0,8.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2022-03-10,111.28
957.0,8.0,Hotel Z,Aracaju (SE),4.0,208.04,832.16,2022-04-28,166.432
958.0,8.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2022-05-05,161.92
962.0,8.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2022-06-02,208.5533333333333
966.0,8.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2022-06-30,138.69333333333333
967.0,8.0,Hotel CB,Rio de Janeiro (RJ),3.0,165.99,497.97,2022-07-07,124.4925
969.0,8.0,Hotel BW,Campo Grande (MS),2.0,60.39,120.78,2022-07-21,40.26
970.0,8.0,Hotel AF,Sao Paulo (SP),1.0,139.1,139.1,2022-07-28,69.55
972.0,8.0,Hotel AU,Recife (PE),3.0,312.83,938.49,2022-08-11,234.6225
974.0,8.0,Hotel A,Florianopolis (SC),1.0,313.02,313.02,2022-08-25,156.51
977.0,8.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2022-09-15,250.26399999999998
984.0,8.0,Hotel Z,Aracaju (SE),4.0,208.04,832.16,2022-11-03,166.432
987.0,8.0,Hotel Z,Aracaju (SE),1.0,208.04,208.04,2022-11-24,104.02
988.0,8.0,Hotel K,Salvador (BH),4.0,263.41,1053.64,2022-12-01,210.728
997.0,9.0,Hotel AF,Sao Paulo (SP),4.0,139.1,556.4,2019-09-26,111.28
998.0,9.0,Hotel BD,Natal (RN),2.0,242.88,485.76,2019-10-03,161.92
999.0,9.0,Hotel A,Florianopolis (SC),3.0,313.02,939.06,2019-10-10,234.765
1006.0,9.0,Hotel AU,Recife (PE),2.0,312.83,625.66,2019-11-28,208.5533333333333
1007.0,9.0,Hotel Z,Aracaju (SE),2.0,208.04,416.08,2019-12-05,138.69333333333333
1012.0,9.0,Hotel AU,Recife (PE),4.0,312.83,1251.32,2020-01-09,250.26399999999998
